FeatureID,TsTime,TsValue,TsValue_normalized,AquiferID
17-7,5/1/2017,-9.92,78.68,1
17-7,9/1/2017,-18.64,69.96,1
17-7,5/1/2018,-4.95,83.65,1
17-7,9/1/2018,-10.56,78.04,1
17-19,5/1/2017,-12.2,74.3,1
17-19,9/1/2017,-17.68,68.82,1
17-19,5/1/2018,-8.24,78.26,1
17-19,9/1/2018,-15.67,70.83,1
17-20,5/1/2017,-8.75,81.15,1
17-20,9/1/2017,-11.52,78.38,1
17-20,5/1/2018,-4.43,85.47,1
17-20,9/1/2018,-9.07,80.83,1
17-33,5/1/2017,-4.23,90.17,1
17-33,9/1/2017,-6.73,87.67,1
17-33,5/1/2018,-3.89,90.51,1
17-33,9/1/2018,-5.4,89,1
17-35,5/1/2017,-4.6,91.9,1
17-35,9/1/2017,-9.16,87.34,1
17-35,5/1/2018,-3.55,92.95,1
17-35,9/1/2018,-8.2,88.3,1
17-36,5/1/2017,-4.01,89.19,1
17-36,9/1/2017,-11.2,82,1
17-36,5/1/2018,-3.2,90,1
17-36,9/1/2018,-7.25,85.95,1
17-37,5/1/2017,-18.27,65.23,1
17-37,9/1/2017,-23.68,59.82,1
17-37,5/1/2018,-12.66,70.84,1
17-37,9/1/2018,-23.76,59.74,1
17-38,5/1/2017,-23.6,53,1
17-38,9/1/2017,-28.5,48.1,1
17-38,5/1/2018,-19.45,57.15,1
17-38,9/1/2018,-21.72,54.88,1
17-52,5/1/2017,-11.03,81.07,1
17-52,9/1/2017,-14.9,77.2,1
17-52,5/1/2018,-5.7,86.4,1
17-52,9/1/2018,-11.85,80.25,1
17-54,5/1/2017,-26.85,45.15,1
17-54,9/1/2017,-29.95,42.05,1
17-54,5/1/2018,-24.93,47.07,1
17-54,9/1/2018,-27.52,44.48,1
17-56,5/1/2017,-9.46,93.14,1
17-56,9/1/2017,-14.4,88.2,1
17-56,5/1/2018,-5.67,96.93,1
17-56,9/1/2018,-10.22,92.38,1
C-80,5/1/2017,-16.62,59.58,1
C-80,9/1/2017,-26.79,49.41,1
C-80,5/1/2018,-11.15,65.05,1
C-80,9/1/2018,-18.67,57.53,1
C-81,5/1/2017,-9.25,48.85,1
C-81,9/1/2017,-15.5,42.6,1
C-81,5/1/2018,-7.11,50.99,1
C-81,9/1/2018,-7.86,50.24,1
C-93,5/1/2017,-10.2,78,1
C-93,9/1/2017,-16.8,71.4,1
C-93,5/1/2018,-6.93,81.27,1
C-93,9/1/2018,-12.16,76.04,1
C-95,5/1/2017,-10.1,79.1,1
C-95,9/1/2017,-14.48,74.72,1
C-95,5/1/2018,-4.13,85.07,1
C-95,9/1/2018,-10.23,78.97,1
17-51,5/1/2017,-11.55,44.85,1
17-51,9/1/2017,-12.45,43.95,1
17-51,5/1/2018,-10.3,46.1,1
17-51,9/1/2018,-11.56,44.84,1
17-54,5/1/2017,-26.85,45.15,1
17-54,9/1/2017,-29.95,42.05,1
17-54,5/1/2018,-24.93,47.07,1
17-54,9/1/2018,-27.52,44.48,1
C-64,5/1/2017,-19.7,42,1
C-64,9/1/2017,-21,40.7,1
C-64,5/1/2018,-17.27,44.43,1
C-64,9/1/2018,-19.03,42.67,1
335,5/1/2017,-16.11,40.49,1
335,9/1/2017,-18.05,38.55,1
335,5/1/2018,-14.17,42.43,1
335,9/1/2018,-16.04,40.56,1
2237,5/1/2017,-9.9,38.6,1
2237,9/1/2017,-11.2,37.3,1
2237,5/1/2018,-8.5,40,1
2237,9/1/2018,-9.4,39.1,1
2712,5/1/2017,-21.03,43.47,1
2712,9/1/2017,-22.21,42.29,1
2712,5/1/2018,-19.54,44.96,1
2712,9/1/2018,-20.64,43.86,1
4219,5/1/2017,-23.16,43.14,1
4219,9/1/2017,-26.1,40.2,1
4219,5/1/2018,-20.7,45.6,1
4219,9/1/2018,-23.6,42.7,1
PR32-00,5/1/2017,-13.66,53.04,1
PR32-00,9/1/2017,-23.54,43.16,1
PR93-02,5/1/2017,-15.85,73.15,1
PR38-00,5/1/2017,-11.28,59.72,1
PR38-00,9/1/2017,-11.55,59.45,1
