ID,Name,Type,CapsName,NameField
1,Josephine County,Major,Josephine,altName
2,Curry County,Major,Curry,altName
3,Jackson County,Major,Jackson,altName
4,Coos County,Major,Coos,altName
5,Klamath County,Major,Klamath,altName
6,Lake County,Major,Lake,altName
7,Douglas County,Major,Douglas,altName
8,Harney County,Major,Harney,altName
9,Lane County,Major,Lane,altName
10,Deschutes County,Major,Deschutes,altName
11,Malheur County,Major,Malheur,altName
12,Crook County,Major,Crook,altName
13,Benton County,Major,Benton,altName
14,Linn County,Major,Linn,altName
15,Jefferson County,Major,Jefferson,altName
16,Grant County,Major,Grant,altName
17,Lincoln County,Major,Lincoln,altName
18,Wheeler County,Major,Wheeler,altName
19,Polk County,Major,Polk,altName
20,Baker County,Major,Baker,altName
21,Marion County,Major,Marion,altName
22,Yamhill County,Major,Yamhill,altName
23,Clackamas County,Major,Clackamas,altName
24,Wasco County,Major,Wasco,altName
25,Hood River County,Major,Hood River,altName
26,Multnomah County,Major,Multnomah,altName
27,Sherman County,Major,Sherman,altName
28,Washington County,Major,Washington,altName
29,Tillamook County,Major,Tillamook,altName
30,Gilliam County,Major,Gilliam,altName
31,Union County,Major,Union,altName
32,Morrow County,Major,Morrow,altName
33,Wallowa County,Major,Wallowa,altName
34,Umatilla County,Major,Umatilla,altName
35,Columbia County,Major,Columbia,altName
36,Clatsop County,Major,Clatsop,altName
37,Oregon,None,Oregon,altName
