FeatureID,TsTime,TsValue,TsValue_normalized,AquiferID
W5N0001 ,7/19/2016,-9.34,-9.34,4
W5N0001 ,8/30/2016,-9.5,-9.5,4
W5N0001 ,9/13/2016,-9.52,-9.52,4
W5N0001 ,10/24/2016,-9.5,-9.5,4
W5N0001 ,11/21/2016,-9.48,-9.48,4
W5N0001 ,12/12/2016,-9.7,-9.7,4
W5N0001 ,2/22/2017,-8.37,-8.37,4
W5N0001 ,3/14/2017,-6.96,-6.96,4
W5N0001 ,4/4/2017,-7.73,-7.73,4
W5N0001 ,5/23/2017,-7.84,-7.84,4
W5N0001 ,6/20/2017,-7.97,-7.97,4
W5N0001 ,7/11/2017,-8.11,-8.11,4
W5N0001 ,8/15/2017,-8.28,-8.28,4
W5N0001 ,9/12/2017,-8.47,-8.47,4
W5N0001 ,10/5/2017,-8.6,-8.6,4
W5N0001 ,10/10/2017,-8.61,-8.61,4
W5N0001 ,11/14/2017,-8.74,-8.74,4
W5N0001 ,12/5/2017,-8.78,-8.78,4
W5N0001 ,1/16/2018,-8.14,-8.14,4
W5N0001 ,2/15/2018,-8.07,-8.07,4
W5N0001 ,3/6/2018,-8.11,-8.11,4
W5N0001 ,4/17/2018,-7.93,-7.93,4
W5N0001 ,5/15/2018,-7.9,-7.9,4
W5N0001 ,6/12/2018,-8.03,-8.03,4
W5N0001 ,7/18/2018,-8.25,-8.25,4
W5N0001 ,8/6/2018,-8.36,-8.36,4
W5N0001 ,9/12/2018,-8.69,-8.69,4
W5N0002 ,7/19/2016,-16.5,-16.5,4
W5N0002 ,8/30/2016,-16.59,-16.59,4
W5N0002 ,9/13/2016,-16.63,-16.63,4
W5N0002 ,10/24/2016,-16.8,-16.8,4
W5N0002 ,11/21/2016,-16.91,-16.91,4
W5N0002 ,12/12/2016,-16.98,-16.98,4
W5N0002 ,2/22/2017,-16.61,-16.61,4
W5N0002 ,3/14/2017,-16.24,-16.24,4
W5N0002 ,4/4/2017,-15.74,-15.74,4
W5N0002 ,5/23/2017,-14.74,-14.74,4
W5N0002 ,6/20/2017,-14.47,-14.47,4
W5N0002 ,7/11/2017,-14.41,-14.41,4
W5N0002 ,8/15/2017,-14.38,-14.38,4
W5N0002 ,9/12/2017,-14.51,-14.51,4
W5N0002 ,10/10/2017,-14.62,-14.62,4
W5N0002 ,11/14/2017,-16.85,-16.85,4
W5N0002 ,12/5/2017,-15.02,-15.02,4
W5N0002 ,1/16/2018,-15.13,-15.13,4
W5N0002 ,2/15/2018,-14.95,-14.95,4
W5N0002 ,3/6/2018,-15.88,-15.88,4
W5N0002 ,4/17/2018,-14.8,-14.8,4
W5N0002 ,5/15/2018,-14.67,-14.67,4
W5N0002 ,6/12/2018,-14.58,-14.58,4
W5N0002 ,7/18/2018,-14.56,-14.56,4
W5N0002 ,8/6/2018,-14.62,-14.62,4
W5N0002 ,9/12/2018,-14.9,-14.9,4
W5N0003 ,7/19/2016,-15.97,-15.97,4
W5N0003 ,7/19/2016,-16.5,-16.5,4
W5N0003 ,8/30/2016,-16.1,-16.1,4
W5N0003 ,9/12/2016,-16.14,-16.14,4
W5N0003 ,10/24/2016,-16.28,-16.28,4
W5N0003 ,11/21/2016,-16.33,-16.33,4
W5N0003 ,12/13/2016,-16.34,-16.34,4
W5N0003 ,2/22/2017,-16.15,-16.15,4
W5N0003 ,3/15/2017,-15.79,-15.79,4
W5N0003 ,4/5/2017,-15.59,-15.59,4
W5N0003 ,5/24/2017,-15.05,-15.05,4
W5N0003 ,6/23/2017,-14.93,-14.93,4
W5N0003 ,7/14/2017,-14.85,-14.85,4
W5N0003 ,8/17/2017,-15.04,-15.04,4
W5N0003 ,9/15/2017,-15.29,-15.29,4
W5N0003 ,10/5/2017,-15.45,-15.45,4
W5N0003 ,10/11/2017,-15.47,-15.47,4
W5N0003 ,11/16/2017,-15.87,-15.87,4
W5N0003 ,12/6/2017,-15.8,-15.8,4
W5N0003 ,1/18/2018,-15.75,-15.75,4
W5N0003 ,2/15/2018,-15.57,-15.57,4
W5N0003 ,3/7/2018,-15.47,-15.47,4
W5N0003 ,4/18/2018,-15.38,-15.38,4
W5N0003 ,5/16/2018,-15.3,-15.3,4
W5N0003 ,6/13/2018,-15.21,-15.21,4
W5N0003 ,7/19/2018,-15.31,-15.31,4
W5N0003 ,8/7/2018,-15.49,-15.49,4
W5N0003 ,9/11/2018,-15.66,-15.66,4
W5N0004 ,7/20/2016,-6.86,-6.86,4
W5N0004 ,8/30/2016,-7.05,-7.05,4
W5N0004 ,9/12/2016,-7.7,-7.7,4
W5N0004 ,10/25/2016,-7.2,-7.2,4
W5N0004 ,11/22/2016,-6.83,-6.83,4
W5N0004 ,12/13/2016,-6.95,-6.95,4
W5N0004 ,2/22/2017,-6.35,-6.35,4
W5N0004 ,3/15/2017,-5.47,-5.47,4
W5N0004 ,4/6/2017,-5.22,-5.22,4
W5N0004 ,5/25/2017,-5.26,-5.26,4
W5N0004 ,6/24/2017,-5.31,-5.31,4
W5N0004 ,7/13/2017,-5.39,-5.39,4
W5N0004 ,8/17/2017,-5.52,-5.52,4
W5N0004 ,9/14/2017,-5.69,-5.69,4
