ID,Name,Type,CapsName,NameField
10,Carrizo,Major,CARRIZO,AQ_NAME
11,Edwards,Major,EDWARDS,AQ_NAME
13,Edwards-Trinity,Major,EDWARDS-TRINITY,AQ_NAME
15,Gulf Coast,Major,GULF_COAST,AQ_NAME
1,Hueco Bolson,Major,HUECO_BOLSON,AQ_NAME
21,Ogallala,Major,OGALLALA,AQ_NAME
3,Pecos Valley,Major,PECOS VALLEY,AQ_NAME
4,Seymour,Major,SEYMOUR,AQ_NAME
28,Trinity,Major,TRINITY,AQ_NAME
6,Blaine,(Minor),BLAINE,AQU_NAME
7,Blossom,(Minor),BLOSSOM,AQU_NAME
8,Bone Spring-Victorio Peak,(Minor),BONE SPRING-VICTORIO PEAK,AQU_NAME
5,Brazos River Alluvium,(Minor),BRAZOS RIVER ALLUVIUM,AQU_NAME
9,Capitan Reef Complex,(Minor),CAPITAN REEF COMPLEX,AQU_NAME
26,Dockum,(Minor),DOCKUM,AQU_NAME
12,Edwards-Trinity-High Plains,(Minor),EDWARDS-TRINITY (HIGH PLAINS),AQU_NAME
14,Ellenburger-San Saba,(Minor),ELLENBURGER-SAN SABA,AQU_NAME
16,Hickory,(Minor),HICKORY,AQU_NAME
17,Igneous,(Minor),IGNEOUS,AQU_NAME
30,Lipan,(Minor),LIPAN,AQU_NAME
18,Marathon,(Minor),MARATHON,AQU_NAME
19,Marble Falls,(Minor),MARBLE FALLS,AQU_NAME
20,Nacatoch,(Minor),NACATOCH,AQU_NAME
24,Queen City,(Minor),QUEEN CITY,AQU_NAME
23,Rita Blanca,(Minor),RITA BLANCA,AQU_NAME
25,Rustler,(Minor),RUSTLER,AQU_NAME
27,Sparta,(Minor),SPARTA,AQU_NAME
2,West Texas Bolsons,(Minor),WEST TEXAS BOLSONS,AQU_NAME
29,Woodbine,(Minor),WOODBINE,AQU_NAME
31,Yegua Jackson,(Minor),YEGUA JACKSON,AQU_NAME
22,None,None,NONE,None
32,Texas,None,Texas,None
