ID,Name,Type,CapsName,NameField
1,Beryl-Enterprise,Major,Beryl-Enterprise,STUDYAREA
2,Cache Valley,Major,Cache Valley,STUDYAREA
3,Castle Valley,Major,Castle Valley,STUDYAREA
4,Cedar Valley,Major,Cedar Valley,STUDYAREA
5,Lower Bear River,Major,Lower Bear River,STUDYAREA
6,Morgan Valley,Major,Morgan Valley,STUDYAREA
7,Ogden Valley,Major,Ogden Valley,STUDYAREA
8,Salt Lake County,Major,Salt Lake County,STUDYAREA
9,Sanpete Valley,Major,Sanpete Valley,STUDYAREA
10,Sevier Desert,Major,Sevier Desert,STUDYAREA
11,Spanish Valley,Major,Spanish Valley,STUDYAREA
12,Tooele,Major,Tooele,STUDYAREA
13,Upper Bear River,Major,Upper Bear River,STUDYAREA
14,Utah Valley,Major,Utah Valley,STUDYAREA
15,Weber-Davis,Major,Weber/Davis,STUDYAREA
16,Utah,None,Utah,STUDYAREA
