ID,Name,Type,CapsName,NameField,WMU_CODE
1,Bad Axe - La Crosse,Major,Bad Axe - La Crosse,WMU_NAME,BL
2,Black River,Major,Black River,WMU_NAME,BR
3,Buffalo - Trempealeau,Major,Buffalo - Trempealeau,WMU_NAME,BT
4,Central Wisconsin,Major,Central Wisconsin,WMU_NAME,CW
5,Fox,Major,Fox (IL),WMU_NAME,FX
6,Grant - Platte,Major,Grant - Platte,WMU_NAME,GP
7,Green Bay,Major,Green Bay,WMU_NAME,GB
8,Lake Superior,Major,Lake Superior,WMU_NAME,LS
9,Lower Chippewa,Major,Lower Chippewa,WMU_NAME,LC
10,Lower Fox,Major,Lower Fox,WMU_NAME,LF
11,Lower Rock,Major,Lower Rock,WMU_NAME,LR
12,Lower Wisconsin,Major,Lower Wisconsin,WMU_NAME,LW
13,Manitowoc,Major,Manitowoc,WMU_NAME,MA
14,Milwaukee River,Major,Milwaukee River,WMU_NAME,MI
15,Sheboygan,Major,Sheboygan,WMU_NAME,SH
16,Southeast,Major,Southeast,WMU_NAME,SE
17,St Croix,Major,St Croix,WMU_NAME,SC
18,Sugar - Pecatonica,Major,Sugar - Pecatonica,WMU_NAME,SP
19,Twin - Door - Kewaunee,Major,Twin - Door - Kewaunee,WMU_NAME,TK
20,Upper Chippewa,Major,Upper Chippewa,WMU_NAME,UC
21,Upper Fox,Major,Upper Fox,WMU_NAME,UF
22,Upper Rock,Major,Upper Rock,WMU_NAME,UR
23,Upper Wisconsin,Major,Upper Wisconsin,WMU_NAME,UW
24,Wolf River,Major,Wolf River,WMU_NAME,WR
25,Wisconsin,None,Wisconsin,WMU_NAME,WI
